season,constructor_id,constructor_name,constructor_nationality,constructor_url
2026,alpine,Alpine F1 Team,French,https://en.wikipedia.org/wiki/Alpine_F1_Team
2026,aston_martin,Aston Martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
2026,audi,Audi,German,https://en.wikipedia.org/wiki/Audi_in_Formula_One
2026,cadillac,Cadillac F1 Team,American,https://en.wikipedia.org/wiki/Cadillac_in_Formula_One
2026,ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
2026,haas,Haas F1 Team,American,https://en.wikipedia.org/wiki/Haas_F1_Team
2026,mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
2026,mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2026,rb,RB F1 Team,Italian,https://en.wikipedia.org/wiki/Racing_Bulls
2026,red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
2026,williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
