season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,11,norris,mclaren,1,1,1,25,70,Finished
2026,11,max_verstappen,red_bull,4,2,2,18,70,Finished
2026,11,antonelli,mercedes,7,3,3,15,70,Finished
2026,11,leclerc,ferrari,2,4,4,12,70,Finished
2026,11,hamilton,ferrari,5,5,5,10,70,Finished
2026,11,hadjar,red_bull,8,6,6,8,70,Finished
2026,11,russell,mercedes,6,7,7,6,70,Finished
2026,11,lawson,rb,11,8,8,4,69,Lapped
2026,11,hulkenberg,audi,10,9,9,2,69,Lapped
2026,11,arvid_lindblad,rb,9,10,10,1,69,Lapped
2026,11,bortoleto,audi,14,11,11,0,69,Lapped
2026,11,gasly,alpine,12,12,12,0,69,Lapped
2026,11,stroll,aston_martin,20,13,13,0,69,Lapped
2026,11,alonso,aston_martin,16,14,14,0,69,Lapped
2026,11,colapinto,alpine,13,15,15,0,68,Lapped
2026,11,ocon,haas,15,16,16,0,68,Lapped
2026,11,albon,williams,19,17,17,0,68,Lapped
2026,11,sainz,williams,18,18,18,0,68,Lapped
2026,11,bearman,haas,17,19,19,0,68,Lapped
2026,11,piastri,mclaren,3,20,R,0,55,Retired
2026,11,perez,cadillac,22,21,R,0,48,Retired
2026,11,bottas,cadillac,21,22,R,0,13,Retired
