season,round,url,race_name,circuit_id,curcuit_name,country,locality
2026,1,https://en.wikipedia.org/wiki/2026_Australian_Grand_Prix,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne
2026,2,https://en.wikipedia.org/wiki/2026_Chinese_Grand_Prix,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai
2026,3,https://en.wikipedia.org/wiki/2026_Japanese_Grand_Prix,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka
2026,4,https://en.wikipedia.org/wiki/2026_Miami_Grand_Prix,Miami Grand Prix,miami,Miami International Autodrome,USA,Miami
2026,5,https://en.wikipedia.org/wiki/2026_Canadian_Grand_Prix,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal
2026,6,https://en.wikipedia.org/wiki/2026_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo
2026,7,https://en.wikipedia.org/wiki/2026_Barcelona-Catalunya,Barcelona Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona
2026,8,https://en.wikipedia.org/wiki/2026_Austrian_Grand_Prix,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,Spielberg
2026,9,https://en.wikipedia.org/wiki/2026_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone
2026,10,https://en.wikipedia.org/wiki/2026_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa
2026,11,https://en.wikipedia.org/wiki/2026_Hungarian_Grand_Prix,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest
2026,12,https://en.wikipedia.org/wiki/2026_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,Zandvoort
2026,13,https://en.wikipedia.org/wiki/2026_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza
2026,14,https://en.wikipedia.org/wiki/2026_Spanish_Grand_Prix,Spanish Grand Prix,madring,Madring,Spain,Madrid
2026,15,https://en.wikipedia.org/wiki/2026_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,baku,Baku City Circuit,Azerbaijan,Baku
2026,16,https://en.wikipedia.org/wiki/2026_Singapore_Grand_Prix,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay
2026,17,https://en.wikipedia.org/wiki/2026_United_States_Grand_Prix,United States Grand Prix,americas,Circuit of the Americas,USA,Austin
2026,18,https://en.wikipedia.org/wiki/2026_Mexico_City_Grand_Prix,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico,Mexico City
2026,19,https://en.wikipedia.org/wiki/2026_Brazilian_Grand_Prix,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo
2026,20,https://en.wikipedia.org/wiki/2026_Las_Vegas_Grand_Prix,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,USA,Las Vegas
2026,21,https://en.wikipedia.org/wiki/2026_Qatar_Grand_Prix,Qatar Grand Prix,losail,Losail International Circuit,Qatar,Lusail
2026,22,https://en.wikipedia.org/wiki/2026_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi
